review_text,sentiment
"I absolutely love this dress! The fabric is soft and the fit is perfect. Highly recommend!","positive"
"Terrible product. It broke within two days of use. Do not buy!","negative"
"It is okay, nothing special. The quality matches the price I guess.","neutral"
"Amazing sneaker, so comfortable for running. Will definitely buy another pair.","positive"
"The packaging was damaged and the customer support was extremely unhelpful.","negative"
"The shirt size was a bit larger than expected, but the material is nice.","neutral"
"Great customer service! They resolved my order issue immediately.","positive"
"This bag is way too small and smells weird. Returning it immediately.","negative"
"The shipping took a bit long, but the trousers are of decent quality.","neutral"
"Super fast shipping! The jacket looks even better in person. Very happy!","positive"
"Worst purchase ever. The color is completely different from the pictures.","negative"
"It performs as described, though the battery life is just average.","neutral"
"Fantastic purchase! The sound quality of these headphones is top-notch.","positive"
"Very disappointed. The screen has a scratch and it feels very cheap.","negative"
"Average pants. They fit fine, but the style is a bit outdated.","neutral"
"This is the best moisturizer I have ever used. My skin feels great!","positive"
"The product arrived late and did not work at all. Completely useless.","negative"
"It does the job, but it is not as premium as other brands.","neutral"
"Highly satisfied with this purchase. Excellent quality and fast shipping!","positive"
"Cheap material and sewing is coming undone. Very poor quality.","negative"
"Neutral rating. The product is fine but the instructions are unclear.","neutral"
"Wow! Simply amazing. The best shoes I have ever owned.","positive"
"Horrible experience. The seller did not reply to any of my refund messages.","negative"
"The color is nice, but it is a bit tight around the shoulders.","neutral"
"I will definitely recommend this store to my friends. Great products!","positive"
"The item was defective and I had to pay for return shipping myself.","negative"
"Decent jacket. Keeps me warm enough, though it has no inside pockets.","neutral"
"Love the design and it fits perfectly! Will buy in other colors too.","positive"
"Extremely bad quality. The zip broke on first use. Waste of money.","negative"
"Nothing outstanding, just a basic t-shirt. Fine for casual wear.","neutral"
